rs re inversion_n qid rid inversion_id
62231354 72038465 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
119645561 123130862 5 Chr12 Chr16 Chr16.Chr12.Inversion.5
46995019 58363875 6 Chr12 Chr16 Chr16.Chr12.Inversion.6
34356155 36272592 7 Chr12 Chr16 Chr16.Chr12.Inversion.7
41337867 46011614 7 Chr12 Chr16 Chr16.Chr12.Inversion.7
23490391 33938551 7 Chr12 Chr16 Chr16.Chr12.Inversion.7
36918387 39650182 7 Chr12 Chr16 Chr16.Chr12.Inversion.7
6989723 10358373 8 Chr12 Chr16 Chr16.Chr12.Inversion.8
10665544 23261625 9 Chr12 Chr16 Chr16.Chr12.Inversion.9
58956254 72993393 1 Chr12 Chr12 Chr12.Chr12.Inversion.1
15178104 18260446 2 Chr12 Chr12 Chr12.Chr12.Inversion.2
130484 10959291 3 Chr12 Chr12 Chr12.Chr12.Inversion.3
148468667 158467114 1 Chr16 Chr16 Chr16.Chr16.Inversion.1
179976456 187963059 2 Chr16 Chr16 Chr16.Chr16.Inversion.2
177096836 177562982 1 Chr17 Chr12 Chr12.Chr17.Inversion.1
141224757 152507538 1 Chr17 Chr12 Chr12.Chr17.Inversion.1
112275626 139387381 2 Chr17 Chr12 Chr12.Chr17.Inversion.2
155298932 163274408 3 Chr17 Chr12 Chr12.Chr17.Inversion.3
177096836 177562982 3 Chr17 Chr12 Chr12.Chr17.Inversion.3
141224757 152507538 3 Chr17 Chr12 Chr12.Chr17.Inversion.3
112275626 139387381 3 Chr17 Chr12 Chr12.Chr17.Inversion.3
155298932 163274408 4 Chr17 Chr12 Chr12.Chr17.Inversion.4
177096836 177562982 4 Chr17 Chr12 Chr12.Chr17.Inversion.4
56326594 61204673 1 Chr17 Chr17 Chr17.Chr17.Inversion.1
51451413 53175772 2 Chr17 Chr17 Chr17.Chr17.Inversion.2
11696647 22517990 3 Chr17 Chr17 Chr17.Chr17.Inversion.3
18034308 18232735 1 Chr6 Chr15 Chr15.Chr6.Inversion.1
49193365 50645863 1 Chr6 Chr15 Chr15.Chr6.Inversion.1
97353206 103840344 2 Chr6 Chr15 Chr15.Chr6.Inversion.2
170067872 173546838 3 Chr6 Chr15 Chr15.Chr6.Inversion.3
44290289 49166033 4 Chr6 Chr15 Chr15.Chr6.Inversion.4
49193365 50645863 4 Chr6 Chr15 Chr15.Chr6.Inversion.4
18515349 18795580 5 Chr6 Chr15 Chr15.Chr6.Inversion.5
18034308 18232735 5 Chr6 Chr15 Chr15.Chr6.Inversion.5
44290289 49166033 5 Chr6 Chr15 Chr15.Chr6.Inversion.5
49193365 50645863 5 Chr6 Chr15 Chr15.Chr6.Inversion.5
18515349 18795580 6 Chr6 Chr15 Chr15.Chr6.Inversion.6
18034308 18232735 6 Chr6 Chr15 Chr15.Chr6.Inversion.6
82728764 89816163 1 Chr16 Chr12 Chr12.Chr16.Inversion.1
213787211 215561311 1 Chr17 Chr16 Chr16.Chr17.Inversion.1
212142778 213270784 2 Chr17 Chr16 Chr16.Chr17.Inversion.2
208160961 212118313 3 Chr17 Chr16 Chr16.Chr17.Inversion.3
212142778 213270784 3 Chr17 Chr16 Chr16.Chr17.Inversion.3
206237399 208003446 4 Chr17 Chr16 Chr16.Chr17.Inversion.4
