rs	re	qs	qe	rid	qid	qstrand
167839577	172811106	167993292	174308222	Ha412HOChr14	CM060429.1	+
99736896	107103077	156476571	143628819	Ha412HOChr13	CM060387.1	-
70900155	96235860	128269764	108169886	Ha412HOChr04	CM060369.1	-
113455852	137383695	33798049	44318160	Ha412HOChr12	CM060417.1	+
115151535	127010414	119834630	131984259	Ha412HOChr16	CM060441.1	+
47259540	56129874	121094944	131050062	Ha412HOChr17	CM060417.1	+
18869082	28308599	90876904	76775755	Ha412HOChr15	CM060435.1	-
10665544	17707041	32899862	24236077	Ha412HOChr16	CM060441.1	-
54787737	68221700	89119	16034561	Ha412HOChr13	CM060387.1	+
215041738	217835881	11569939	6736158	Ha412HOChr04	CM060423.1	-
25496222	47360541	84681335	103721443	Ha412HOChr07	CM060387.1	+
152141703	162667254	165846198	156442092	Ha412HOChr11	CM060411.1	-
98262995	116411617	68181898	52715451	Ha412HOChr07	CM060369.1	-
135988267	144013097	118861199	107944796	Ha412HOChr14	CM060429.1	-
181160522	184365336	7000598	68281	Ha412HOChr02	CM060357.1	-
157832088	163068061	156604125	164391687	Ha412HOChr14	CM060429.1	+
140081279	156716315	147650483	163118811	Ha412HOChr17	CM060447.1	+
210926831	218070753	220071	22462635	Ha412HOChr16	CM060417.1	+
203598960	211409422	26334838	16740136	Ha412HOChr04	CM060423.1	-
125823029	136935103	73014920	58930191	Ha412HOChr03	CM060363.1	-
423274	9490323	155960	16523662	Ha412HOChr16	CM060441.1	+
41411842	52261009	57913767	46730050	Ha412HOChr15	CM060435.1	-
373527	8791460	186847531	173229188	Ha412HOChr05	CM060375.1	-
3559178	11352307	14583159	28994145	Ha412HOChr08	CM060393.1	+
86211819	94865926	32335110	16354550	Ha412HOChr13	CM060387.1	-
104422244	116311389	184884750	199152241	Ha412HOChr15	CM060381.1	+
161014238	179244774	52192851	36171454	Ha412HOChr16	CM060447.1	-
65957	2989469	212199	6760496	Ha412HOChr08	CM060393.1	+
197517005	205477742	211727175	202859145	Ha412HOChr17	CM060447.1	-
121890298	135905994	135486663	118984682	Ha412HOChr14	CM060429.1	-
144851617	154706871	152495608	138997311	Ha412HOChr14	CM060429.1	-
112041156	148870387	129511811	164495465	Ha412HOChr06	CM060435.1	+
41387051	70308966	171630139	145012322	Ha412HOChr04	CM060369.1	-
188036996	201159137	28158941	9569782	Ha412HOChr16	CM060447.1	-
158401596	187085931	164445671	190162862	Ha412HOChr17	CM060447.1	+
53432806	67286949	45588651	30738709	Ha412HOChr15	CM060435.1	-
180690555	187025131	9719528	198747	Ha412HOChr05	CM060375.1	-
5124868	10959291	224986955	233555700	Ha412HOChr12	CM060441.1	+
303259	11385251	203949733	190071751	Ha412HOChr01	CM060351.1	-
68650628	83585733	32551260	53168296	Ha412HOChr13	CM060387.1	+
98635676	122987393	99210196	63877041	Ha412HOChr01	CM060351.1	-
28615819	41243041	76421022	58032702	Ha412HOChr15	CM060435.1	-
41492139	56051611	72211921	56865349	Ha412HOChr06	CM060381.1	-
140672005	158788419	52230471	32573593	Ha412HOChr05	CM060375.1	-
86394062	116527946	78126313	103379506	Ha412HOChr14	CM060429.1	+
58593314	97869714	102450918	68696734	Ha412HOChr07	CM060369.1	-
120591188	164156956	109171691	65531291	Ha412HOChr04	CM060423.1	-
155946764	172613608	194263731	227212258	Ha412HOChr13	CM060423.1	+
150458963	159729692	26473550	3383732	Ha412HOChr07	CM060369.1	-
132407445	148071445	32850411	49262886	Ha412HOChr07	CM060369.1	+
59053762	85230771	90267133	116792457	Ha412HOChr08	CM060393.1	+
142941467	162681520	36088990	59336935	Ha412HOChr10	CM060405.1	+
141256011	153236479	35136991	11652367	Ha412HOChr01	CM060351.1	-
161425771	178164892	32303071	9909644	Ha412HOChr05	CM060375.1	-
70244831	104556301	117383221	81970241	Ha412HOChr03	CM060363.1	-
119189950	155267663	139819231	194184232	Ha412HOChr13	CM060423.1	+
165870937	185826142	36801139	59450096	Ha412HOChr04	CM060423.1	+
124460087	140561743	35800150	58613431	Ha412HOChr01	CM060351.1	+
180631578	190688683	22171483	207304	Ha412HOChr10	CM060405.1	-
57256885	110812412	159917310	91803057	Ha412HOChr10	CM060405.1	-
47988435	111482342	152696645	94841128	Ha412HOChr02	CM060357.1	-
114073635	153892481	91490881	42897478	Ha412HOChr02	CM060357.1	-
3233876	33196337	195968436	165622698	Ha412HOChr02	CM060357.1	-
58956254	82265191	166720025	142679084	Ha412HOChr12	CM060441.1	-
123533939	140635212	151100048	130251892	Ha412HOChr09	CM060399.1	-
33098727	57854040	190538869	168025635	Ha412HOChr12	CM060441.1	-
110881547	142679096	91740251	59570190	Ha412HOChr10	CM060405.1	-
70138346	139458194	80165016	147294721	Ha412HOChr17	CM060447.1	+
136625923	160795102	79769459	52458200	Ha412HOChr16	CM060447.1	-
22980662	40562852	56234302	32054941	Ha412HOChr06	CM060381.1	-
11195354	60802747	190418433	132233582	Ha412HOChr03	CM060363.1	-
250882	38848108	223807989	173096898	Ha412HOChr04	CM060369.1	-
87035534	123522527	88978524	130173187	Ha412HOChr09	CM060399.1	+
11466466	32821990	219685038	190756700	Ha412HOChr12	CM060441.1	-
116587634	161531260	181737059	136443665	Ha412HOChr15	CM060381.1	-
165617690	179537756	24288807	1380444	Ha412HOChr03	CM060363.1	-
63432276	109904545	79774467	128996075	Ha412HOChr06	CM060381.1	+
155565127	180318807	42282000	13102869	Ha412HOChr02	CM060357.1	-
5752790	40584278	212542693	173663053	Ha412HOChr10	CM060405.1	-
1323556	85909718	384158	77791398	Ha412HOChr14	CM060429.1	+
166125612	199057555	169177083	220782426	Ha412HOChr11	CM060411.1	+
367952	77589603	80104	83443846	Ha412HOChr09	CM060399.1	+
12890801	72765724	99289804	160583069	Ha412HOChr01	CM060351.1	+
140840074	167185913	191207944	158084783	Ha412HOChr09	CM060399.1	-
96739218	172660062	207919783	116806859	Ha412HOChr08	CM060393.1	-
330578	17182666	340437	27827833	Ha412HOChr15	CM060435.1	+
174155041	189658848	176579644	200414045	Ha412HOChr14	CM060429.1	+
137976899	165529692	58462463	24365071	Ha412HOChr03	CM060363.1	-
170849058	190922394	191265817	217274672	Ha412HOChr09	CM060399.1	+
14136807	58169219	29106487	88625219	Ha412HOChr08	CM060393.1	+
299901	33337112	279702	43320377	Ha412HOChr11	CM060411.1	+
54540329	147692683	67724557	148920492	Ha412HOChr11	CM060411.1	+
47977621	139344104	142890768	53279810	Ha412HOChr05	CM060375.1	-
205173	21640049	560145	30708876	Ha412HOChr06	CM060381.1	+
570449	39484580	192856069	141982748	Ha412HOChr17	CM060417.1	-
